,Input,Response
1660,Dein Erfolg ist das Ergebnis deiner harten Arbeit.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Dein Erfolg ist das Ergebnis deiner harten Arbeit."",""model"":""UNK"",""editXml"":""Dein Erfolg ist das Ergebnis deiner harten Arbeit."",""corrected"":""Dein Erfolg ist das Ergebnis deiner harten Arbeit."",""editOps"":[]}"
1661,Du liegst mit deiner Vermutung völlig daneben.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du liegst mit deiner Vermutung völlig daneben."",""model"":""UNK"",""editXml"":""Du liegst mit deiner Vermutung völlig daneben."",""corrected"":""Du liegst mit deiner Vermutung völlig daneben."",""editOps"":[]}"
1662,Deine Vermutung liegt komplett daneben.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Deine Vermutung liegt komplett daneben."",""model"":""UNK"",""editXml"":""Deine Vermutung liegt komplett daneben."",""corrected"":""Deine Vermutung liegt komplett daneben."",""editOps"":[]}"
1663,Du kannst dafür nur dir selbst die Schuld geben.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du kannst dafür nur dir selbst die Schuld geben."",""model"":""UNK"",""editXml"":""Du kannst dafür nur dir selbst die Schuld geben."",""corrected"":""Du kannst dafür nur dir selbst die Schuld geben."",""editOps"":[]}"
1664,Ich habe dein neues Buch mit großem Vergnügen gelesen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich habe dein neues Buch mit großem Vergnügen gelesen."",""model"":""UNK"",""editXml"":""Ich habe dein neues Buch mit großem Vergnügen gelesen."",""corrected"":""Ich habe dein neues Buch mit großem Vergnügen gelesen."",""editOps"":[]}"
1665,Ich wollte dir nicht wehtun.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich wollte dir nicht wehtun."",""model"":""UNK"",""editXml"":""Ich wollte dir nicht wehtun."",""corrected"":""Ich wollte dir nicht wehtun."",""editOps"":[]}"
1666,Dein Farbgeschmack sagt mir nicht zu.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Dein Farbgeschmack sagt mir nicht zu."",""model"":""UNK"",""editXml"":""Dein Farbgeschmack sagt mir nicht zu."",""corrected"":""Dein Farbgeschmack sagt mir nicht zu."",""editOps"":[]}"
1667,Wir wollen in Ihrem Fall eine Ausnahme machen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Wir wollen in Ihrem Fall eine Ausnahme machen."",""model"":""UNK"",""editXml"":""Wir wollen in Ihrem Fall eine Ausnahme machen."",""corrected"":""Wir wollen in Ihrem Fall eine Ausnahme machen."",""editOps"":[]}"
1668,"Ich mag deine Art, zu lächeln.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich <u title='mach || mag'>mag<\/u> deine Art, zu lächeln."",""model"":""UNK"",""editXml"":""Ich <DBT TOK='mach || mag'>mag<\/DBT> deine Art, zu lächeln."",""corrected"":""Ich mag deine Art, zu lächeln."",""editOps"":[{""LTID"":"""",""beg"":4,""kind"":""DBT"",""alt"":""mach || mag"",""text"":""mag""}]}"
1669,Lass uns ernsthaft über deine Zukunft sprechen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Lass uns ernsthaft über deine Zukunft sprechen."",""model"":""UNK"",""editXml"":""Lass uns ernsthaft über deine Zukunft sprechen."",""corrected"":""Lass uns ernsthaft über deine Zukunft sprechen."",""editOps"":[]}"
1670,Deine Ratschläge sind immer hilfreich für mich.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Deine Ratschläge sind immer hilfreich für mich."",""model"":""UNK"",""editXml"":""Deine Ratschläge sind immer hilfreich für mich."",""corrected"":""Deine Ratschläge sind immer hilfreich für mich."",""editOps"":[]}"
1671,Deine Ratschläge sind mir stets von Nutzen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Deine Ratschläge sind mir stets von Nutzen."",""model"":""UNK"",""editXml"":""Deine Ratschläge sind mir stets von Nutzen."",""corrected"":""Deine Ratschläge sind mir stets von Nutzen."",""editOps"":[]}"
1672,Ich erwarte deine Hilfe.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich erwarte deine Hilfe."",""model"":""UNK"",""editXml"":""Ich erwarte deine Hilfe."",""corrected"":""Ich erwarte deine Hilfe."",""editOps"":[]}"
1673,"Ohne deine Hilfe wären wir nicht imstande, unseren Plan auszuführen.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ohne deine Hilfe wären wir nicht imstande, unseren Plan auszuführen."",""model"":""UNK"",""editXml"":""Ohne deine Hilfe wären wir nicht imstande, unseren Plan auszuführen."",""corrected"":""Ohne deine Hilfe wären wir nicht imstande, unseren Plan auszuführen."",""editOps"":[]}"
1674,Er ist der Aufgabe gewachsen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Er ist der Aufgabe gewachsen."",""model"":""UNK"",""editXml"":""Er ist der Aufgabe gewachsen."",""corrected"":""Er ist der Aufgabe gewachsen."",""editOps"":[]}"
1675,"Wir fangen an, sobald du fertig bist.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Wir fangen an, sobald du fertig bist."",""model"":""UNK"",""editXml"":""Wir fangen an, sobald du fertig bist."",""corrected"":""Wir fangen an, sobald du fertig bist."",""editOps"":[]}"
1676,"Wir fangen an, sobald ihr fertig seid.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Wir fangen an, sobald ihr fertig seid."",""model"":""UNK"",""editXml"":""Wir fangen an, sobald ihr fertig seid."",""corrected"":""Wir fangen an, sobald ihr fertig seid."",""editOps"":[]}"
1677,"Wir fangen an, sobald Sie fertig sind.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Wir fangen an, sobald <u title='sie || Sie'>Sie<\/u> fertig sind."",""model"":""UNK"",""editXml"":""Wir fangen an, sobald <DBT TOK='sie || Sie'>Sie<\/DBT> fertig sind."",""corrected"":""Wir fangen an, sobald Sie fertig sind."",""editOps"":[{""LTID"":"""",""beg"":22,""kind"":""DBT"",""alt"":""sie || Sie"",""text"":""Sie""}]}"
1678,Das Eis wird unter deinem Gewicht brechen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Das Eis wird unter deinem Gewicht brechen."",""model"":""UNK"",""editXml"":""Das Eis wird unter deinem Gewicht brechen."",""corrected"":""Das Eis wird unter deinem Gewicht brechen."",""editOps"":[]}"
1679,Schreibe deine Adresse hier auf.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Schreibe deine Adresse hier auf."",""model"":""UNK"",""editXml"":""Schreibe deine Adresse hier auf."",""corrected"":""Schreibe deine Adresse hier auf."",""editOps"":[]}"
1680,Dein Einkommen ist dreimal so hoch als meines.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Dein Einkommen ist dreimal so hoch als meines."",""model"":""UNK"",""editXml"":""Dein Einkommen ist dreimal so hoch als meines."",""corrected"":""Dein Einkommen ist dreimal so hoch als meines."",""editOps"":[]}"
1681,Ich werde deine Kochkunst vermissen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich werde deine Kochkunst vermissen."",""model"":""UNK"",""editXml"":""Ich werde deine Kochkunst vermissen."",""corrected"":""Ich werde deine Kochkunst vermissen."",""editOps"":[]}"
1682,"Das ist passiert, bevor ich deinen Brief gekriegt habe.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Das ist passiert, bevor ich deinen Brief gekriegt habe."",""model"":""UNK"",""editXml"":""Das ist passiert, bevor ich deinen Brief gekriegt habe."",""corrected"":""Das ist passiert, bevor ich deinen Brief gekriegt habe."",""editOps"":[]}"
1683,Ich habe deinen Brief gestern erhalten.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich habe deinen Brief gestern erhalten."",""model"":""UNK"",""editXml"":""Ich habe deinen Brief gestern erhalten."",""corrected"":""Ich habe deinen Brief gestern erhalten."",""editOps"":[]}"
1684,Ich habe gestern deinen Brief bekommen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich habe gestern deinen Brief bekommen."",""model"":""UNK"",""editXml"":""Ich habe gestern deinen Brief bekommen."",""corrected"":""Ich habe gestern deinen Brief bekommen."",""editOps"":[]}"
1685,Dein Brief hat mich glücklich gemacht.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Dein Brief hat mich glücklich gemacht."",""model"":""UNK"",""editXml"":""Dein Brief hat mich glücklich gemacht."",""corrected"":""Dein Brief hat mich glücklich gemacht."",""editOps"":[]}"
1686,"Dein Argument ist nicht überzeugender, als das meines sturen Vaters.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Dein Argument ist nicht überzeugender, als das meines sturen Vaters."",""model"":""UNK"",""editXml"":""Dein Argument ist nicht überzeugender, als das meines sturen Vaters."",""corrected"":""Dein Argument ist nicht überzeugender, als das meines sturen Vaters."",""editOps"":[]}"
1687,Leih mir bitte deinen Wagen!,"{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>mir, bitte, deinen<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""<u title='Lei || Leid'>Leih<\/u> mir bitte deinen Wagen!"",""model"":""UNK"",""editXml"":""<DBT TOK='Lei || Leid'>Leih<\/DBT> mir bitte deinen Wagen!"",""corrected"":""Leih mir bitte deinen Wagen!"",""editOps"":[{""LTID"":"""",""beg"":0,""kind"":""DBT"",""alt"":""Lei || Leid"",""text"":""Leih""}]}"
1688,Könnte ich mir deinen Wagen ausleihen?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Könnte ich mir deinen Wagen ausleihen?"",""model"":""UNK"",""editXml"":""Könnte ich mir deinen Wagen ausleihen?"",""corrected"":""Könnte ich mir deinen Wagen ausleihen?"",""editOps"":[]}"
1689,Nimm mich in deinem Auto mit.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Nimm mich in deinem Auto mit."",""model"":""UNK"",""editXml"":""Nimm mich in deinem Auto mit."",""corrected"":""Nimm mich in deinem Auto mit."",""editOps"":[]}"
1690,Was hast du mit deinem Auto gemacht?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Was hast du mit deinem Auto gemacht?"",""model"":""UNK"",""editXml"":""Was hast du mit deinem Auto gemacht?"",""corrected"":""Was hast du mit deinem Auto gemacht?"",""editOps"":[]}"
1691,"Es ist wichtig, dass Sie in das Bewerbungsformular ein Foto von Ihnen einfügen.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Es ist wichtig, dass Sie in das Bewerbungsformular ein Foto von Ihnen einfügen."",""model"":""UNK"",""editXml"":""Es ist wichtig, dass Sie in das Bewerbungsformular ein Foto von Ihnen einfügen."",""corrected"":""Es ist wichtig, dass Sie in das Bewerbungsformular ein Foto von Ihnen einfügen."",""editOps"":[]}"
1692,Darf ich dich fotografieren?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Darf ich dich fotografieren?"",""model"":""UNK"",""editXml"":""Darf ich dich fotografieren?"",""corrected"":""Darf ich dich fotografieren?"",""editOps"":[]}"
1693,Kann ich dein Wörterbuch ausleihen?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Kann ich dein Wörterbuch ausleihen?"",""model"":""UNK"",""editXml"":""Kann ich dein Wörterbuch ausleihen?"",""corrected"":""Kann ich dein Wörterbuch ausleihen?"",""editOps"":[]}"
1694,Schlagt die Wörter in eurem Wörterbuch nach.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Schlagt die Wörter in eurem Wörterbuch nach."",""model"":""UNK"",""editXml"":""Schlagt die Wörter in eurem Wörterbuch nach."",""corrected"":""Schlagt die Wörter in eurem Wörterbuch nach."",""editOps"":[]}"
1695,Könntest du mir für ein paar Tage dein Fahrrad leihen?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Könntest du mir für ein paar Tage dein Fahrrad leihen?"",""model"":""UNK"",""editXml"":""Könntest du mir für ein paar Tage dein Fahrrad leihen?"",""corrected"":""Könntest du mir für ein paar Tage dein Fahrrad leihen?"",""editOps"":[]}"
1696,Dein Fahrrad ist so ähnlich wie meins.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Dein Fahrrad ist so ähnlich wie meins."",""model"":""UNK"",""editXml"":""Dein Fahrrad ist so ähnlich wie meins."",""corrected"":""Dein Fahrrad ist so ähnlich wie meins."",""editOps"":[]}"
1697,Ihre Armbanduhr ist in Form und Farbe so ähnlich wie meine.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ihre Armbanduhr ist in Form und Farbe so ähnlich wie meine."",""model"":""UNK"",""editXml"":""Ihre Armbanduhr ist in Form und Farbe so ähnlich wie meine."",""corrected"":""Ihre Armbanduhr ist in Form und Farbe so ähnlich wie meine."",""editOps"":[]}"
1698,Deine Uhr ähnelt der meinen in Form und Farbe.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Deine Uhr ähnelt der meinen in Form und Farbe."",""model"":""UNK"",""editXml"":""Deine Uhr ähnelt der meinen in Form und Farbe."",""corrected"":""Deine Uhr ähnelt der meinen in Form und Farbe."",""editOps"":[]}"
1699,Deine Uhr ist von ähnlicher Form und Farbe wie die meine.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Deine Uhr ist von ähnlicher Form und Farbe wie die <u title='Menge || meine'>meine<\/u>."",""model"":""UNK"",""editXml"":""Deine Uhr ist von ähnlicher Form und Farbe wie die <DBT TOK='Menge || meine'>meine<\/DBT>."",""corrected"":""Deine Uhr ist von ähnlicher Form und Farbe wie die meine."",""editOps"":[{""LTID"":"""",""beg"":51,""kind"":""DBT"",""alt"":""Menge || meine"",""text"":""meine""}]}"
1700,Ihre Uhr geht zehn Minuten nach.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ihre Uhr geht zehn Minuten nach."",""model"":""UNK"",""editXml"":""Ihre Uhr geht zehn Minuten nach."",""corrected"":""Ihre Uhr geht zehn Minuten nach."",""editOps"":[]}"
1701,Wie spät ist es nach deiner Uhr?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Wie spät ist es nach deiner Uhr?"",""model"":""UNK"",""editXml"":""Wie spät ist es nach deiner Uhr?"",""corrected"":""Wie spät ist es nach deiner Uhr?"",""editOps"":[]}"
1702,Deine Prüfungsergebnisse sind großartig.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Deine Prüfungsergebnisse sind großartig."",""model"":""UNK"",""editXml"":""Deine Prüfungsergebnisse sind großartig."",""corrected"":""Deine Prüfungsergebnisse sind großartig."",""editOps"":[]}"
1703,Folge einfach deinem Herzen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Folge einfach deinem Herzen."",""model"":""UNK"",""editXml"":""Folge einfach deinem Herzen."",""corrected"":""Folge einfach deinem Herzen."",""editOps"":[]}"
1704,Deine Schwester ist schöner wie eh und je.,"{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>Schwester<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Deine Schwester ist schöner wie <u title='du || eh'>eh<\/u> und je."",""model"":""UNK"",""editXml"":""Deine Schwester ist schöner wie <DBT TOK='du || eh'>eh<\/DBT> und je."",""corrected"":""Deine Schwester ist schöner wie eh und je."",""editOps"":[{""LTID"":"""",""beg"":32,""kind"":""DBT"",""alt"":""du || eh"",""text"":""eh""}]}"
1705,"Ich bin nur zu froh, dir bei deiner Arbeit zu helfen.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich bin nur zu froh, dir bei deiner Arbeit zu helfen."",""model"":""UNK"",""editXml"":""Ich bin nur zu froh, dir bei deiner Arbeit zu helfen."",""corrected"":""Ich bin nur zu froh, dir bei deiner Arbeit zu helfen."",""editOps"":[]}"
1706,Ihre Arbeit wird dem erwarteten Standard nicht gerecht.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ihre Arbeit wird dem erwarteten Standard nicht gerecht."",""model"":""UNK"",""editXml"":""Ihre Arbeit wird dem erwarteten Standard nicht gerecht."",""corrected"":""Ihre Arbeit wird dem erwarteten Standard nicht gerecht."",""editOps"":[]}"
1707,Dein englischer Aufsatz liegt über dem Durchschnitt.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Dein englischer Aufsatz liegt über dem Durchschnitt."",""model"":""UNK"",""editXml"":""Dein englischer Aufsatz liegt über dem Durchschnitt."",""corrected"":""Dein englischer Aufsatz liegt über dem Durchschnitt."",""editOps"":[]}"
1708,"Abgesehen von ein paar Fehlern, ist dein Aufsatz perfekt.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Abgesehen von ein paar Fehlern, ist dein Aufsatz perfekt."",""model"":""UNK"",""editXml"":""Abgesehen von ein paar Fehlern, ist dein Aufsatz perfekt."",""corrected"":""Abgesehen von ein paar Fehlern, ist dein Aufsatz perfekt."",""editOps"":[]}"
1709,Wo kommen Sie her?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Wo kommen Sie her?"",""model"":""UNK"",""editXml"":""Wo kommen Sie her?"",""corrected"":""Wo kommen Sie her?"",""editOps"":[]}"
1710,Esst ihr Reis in eurem Land?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Esst ihr Reis in eurem Land?"",""model"":""UNK"",""editXml"":""Esst ihr Reis in eurem Land?"",""corrected"":""Esst ihr Reis in eurem Land?"",""editOps"":[]}"
1711,Ihr Benehmen ist nicht würdig eines Gentleman.,"{""explainHtml"":""<p  class='LT2'><b>eines Gentleman<\/b> : Möglicherweise fehlende grammatische Übereinstimmung des Kasus (Fall: Wer\/Was, Wessen, Wem, Wen\/Was - Beispiel: 'das Fahrrads' statt 'des Fahrrads') und Genus (männlich, weiblich, sächlich - Beispiel: 'der Fahrrad' statt 'das Fahrrad').<br\/>→ <span class='LTsuggest'>einen Gentleman<\/span>, <span class='LTsuggest'>einem Gentleman<\/span>, <span class='LTsuggest'>eines Gentlemans<\/span>, <span class='LTsuggest'>ein Gentleman<\/span><\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>eines Gentleman<\/b> : Möglicherweise fehlende grammatische Übereinstimmung des Kasus (Fall: Wer\/Was, Wessen, Wem, Wen\/Was - Beispiel: 'das Fahrrads' statt 'des Fahrrads') und Genus (männlich, weiblich, sächlich - Beispiel: 'der Fahrrad' statt 'das Fahrrad').<br\/>→ <span class='LTsuggest'>einen Gentleman<\/span>, <span class='LTsuggest'>einem Gentleman<\/span>, <span class='LTsuggest'>eines Gentlemans<\/span>, <span class='LTsuggest'>ein Gentleman<\/span><\/p>\n"",""correctedHtml"":""Ihr Benehmen ist nicht würdig<u title=', mein || , eines'> <u class='LT2'>eines<\/u><\/u> <u class='LT2'>Gentleman<\/u>."",""model"":""UNK"",""editXml"":""Ihr Benehmen ist nicht würdig<DBT TOK=', mein || , eines'> <DBT RID='LT2'>eines<\/DBT><\/DBT> <DBT RID='LT2'>Gentleman<\/DBT>."",""corrected"":""Ihr Benehmen ist nicht würdig eines Gentleman."",""editOps"":[{""LTID"":""LT2"",""beg"":30,""kind"":""DBT"",""alt"":"""",""text"":""eines""},{""LTID"":"""",""beg"":29,""kind"":""DBT"",""alt"":"", mein || , eines"",""text"":"" eines""},{""LTID"":""LT2"",""beg"":36,""kind"":""DBT"",""alt"":"""",""text"":""Gentleman""}]}"
1712,Ihr Benehmen steht einem Kavalier nicht zu Gesicht.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ihr Benehmen steht einem Kavalier nicht zu Gesicht."",""model"":""UNK"",""editXml"":""Ihr Benehmen steht einem Kavalier nicht zu Gesicht."",""corrected"":""Ihr Benehmen steht einem Kavalier nicht zu Gesicht."",""editOps"":[]}"
1713,Ihr Verhalten steht im Gegensatz zu Ihren Prinzipien.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ihr Verhalten steht im Gegensatz zu <u title='ihren || Ihren'>Ihren<\/u> Prinzipien."",""model"":""UNK"",""editXml"":""Ihr Verhalten steht im Gegensatz zu <DBT TOK='ihren || Ihren'>Ihren<\/DBT> Prinzipien."",""corrected"":""Ihr Verhalten steht im Gegensatz zu Ihren Prinzipien."",""editOps"":[{""LTID"":"""",""beg"":36,""kind"":""DBT"",""alt"":""ihren || Ihren"",""text"":""Ihren""}]}"
1714,Dein Benehmen ist nicht zu entschuldigen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Dein Benehmen ist nicht zu entschuldigen."",""model"":""UNK"",""editXml"":""Dein Benehmen ist nicht zu entschuldigen."",""corrected"":""Dein Benehmen ist nicht zu entschuldigen."",""editOps"":[]}"
1715,Du bist in deinem Handeln nicht konsequent.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du bist in deinem Handeln nicht konsequent."",""model"":""UNK"",""editXml"":""Du bist in deinem Handeln nicht konsequent."",""corrected"":""Du bist in deinem Handeln nicht konsequent."",""editOps"":[]}"
1716,Sie sind in Ihrem Handeln nicht konsequent.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Sie sind in Ihrem Handeln nicht konsequent."",""model"":""UNK"",""editXml"":""Sie sind in Ihrem Handeln nicht konsequent."",""corrected"":""Sie sind in Ihrem Handeln nicht konsequent."",""editOps"":[]}"
1717,Dein Benehmen ist unerträglich.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Dein Benehmen ist unerträglich."",""model"":""UNK"",""editXml"":""Dein Benehmen ist unerträglich."",""corrected"":""Dein Benehmen ist unerträglich."",""editOps"":[]}"
1718,Ich bin beschämt über Ihr Verhalten.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich bin beschämt über <u title='ihr || Ihr'>Ihr<\/u> Verhalten."",""model"":""UNK"",""editXml"":""Ich bin beschämt über <DBT TOK='ihr || Ihr'>Ihr<\/DBT> Verhalten."",""corrected"":""Ich bin beschämt über Ihr Verhalten."",""editOps"":[{""LTID"":"""",""beg"":22,""kind"":""DBT"",""alt"":""ihr || Ihr"",""text"":""Ihr""}]}"
1719,"Zeigen Sie mir eine Gegebenheit, die Ihre Idee untermauert.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Zeigen Sie mir eine Gegebenheit, die Ihre Idee untermauert."",""model"":""UNK"",""editXml"":""Zeigen Sie mir eine Gegebenheit, die Ihre Idee untermauert."",""corrected"":""Zeigen Sie mir eine Gegebenheit, die Ihre Idee untermauert."",""editOps"":[]}"
1720,Drücke deine Gedanken klar aus.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Drücke deine Gedanken klar aus."",""model"":""UNK"",""editXml"":""Drücke deine Gedanken klar aus."",""corrected"":""Drücke deine Gedanken klar aus."",""editOps"":[]}"
1721,Deine Idee scheint ähnlich zu sein wie meine.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Deine Idee scheint ähnlich zu sein wie meine."",""model"":""UNK"",""editXml"":""Deine Idee scheint ähnlich zu sein wie meine."",""corrected"":""Deine Idee scheint ähnlich zu sein wie meine."",""editOps"":[]}"
1722,Deine Ideen sind ein bisschen altbacken.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Deine Ideen sind ein bisschen <u title='Altbacken || altbackend'>altbacken<\/u>."",""model"":""UNK"",""editXml"":""Deine Ideen sind ein bisschen <DBT TOK='Altbacken || altbackend'>altbacken<\/DBT>."",""corrected"":""Deine Ideen sind ein bisschen altbacken."",""editOps"":[{""LTID"":"""",""beg"":30,""kind"":""DBT"",""alt"":""Altbacken || altbackend"",""text"":""altbacken""}]}"
1723,"Sage offen, was du deiner Ansicht nach für richtig hältst.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Sage offen, was du deiner Ansicht nach für richtig hältst."",""model"":""UNK"",""editXml"":""Sage offen, was du deiner Ansicht nach für richtig hältst."",""corrected"":""Sage offen, was du deiner Ansicht nach für richtig hältst."",""editOps"":[]}"
1724,Ich beneide dich um dein Glück.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich beneide dich um dein Glück."",""model"":""UNK"",""editXml"":""Ich beneide dich um dein Glück."",""corrected"":""Ich beneide dich um dein Glück."",""editOps"":[]}"
1725,"Du hast die Freiheit, dahin zu reisen, wo es dir gefällt.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du hast die Freiheit, dahin zu reisen, wo es dir gefällt."",""model"":""UNK"",""editXml"":""Du hast die Freiheit, dahin zu reisen, wo es dir gefällt."",""corrected"":""Du hast die Freiheit, dahin zu reisen, wo es dir gefällt."",""editOps"":[]}"
1726,"Nach allem was du sagst, könnte er es schaffen.","{""explainHtml"":""<p  class='LT2'><b>allem was<\/b> : Sollten Sie hier ein Komma einfügen?<br\/>→ <span class='LTsuggest'>allem, was<\/span><\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>allem was<\/b> : Sollten Sie hier ein Komma einfügen?<br\/>→ <span class='LTsuggest'>allem, was<\/span><\/p>\n"",""correctedHtml"":""Nach <u class='LT2'>allem<\/u> <u class='LT2'>was<\/u> du sagst, könnte er es schaffen."",""model"":""UNK"",""editXml"":""Nach <DBT RID='LT2'>allem<\/DBT> <DBT RID='LT2'>was<\/DBT> du sagst, könnte er es schaffen."",""corrected"":""Nach allem was du sagst, könnte er es schaffen."",""editOps"":[{""LTID"":""LT2"",""beg"":5,""kind"":""DBT"",""alt"":"""",""text"":""allem""},{""LTID"":""LT2"",""beg"":11,""kind"":""DBT"",""alt"":"""",""text"":""was""}]}"
1727,"Ich weiß, was du meinst.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich weiß, was du meinst."",""model"":""UNK"",""editXml"":""Ich weiß, was du meinst."",""corrected"":""Ich weiß, was du meinst."",""editOps"":[]}"
1728,"Es scheint mir, dass du Recht hast.","{""explainHtml"":""<p  class='LT2'><b>Recht<\/b> : Empfehlung: Schreiben Sie das Wort \""Recht\"" im Zusammenhang mit \""recht haben\"" oder \""recht geben\"" klein.<br\/>→ <span class='LTsuggest'>recht<\/span><\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>Recht<\/b> : Empfehlung: Schreiben Sie das Wort \""Recht\"" im Zusammenhang mit \""recht haben\"" oder \""recht geben\"" klein.<br\/>→ <span class='LTsuggest'>recht<\/span><\/p>\n"",""correctedHtml"":""Es scheint mir, dass du <u class='LT2'>Recht<\/u> hast."",""model"":""UNK"",""editXml"":""Es scheint mir, dass du <DBT RID='LT2'>Recht<\/DBT> hast."",""corrected"":""Es scheint mir, dass du Recht hast."",""editOps"":[{""LTID"":""LT2"",""beg"":24,""kind"":""DBT"",""alt"":"""",""text"":""Recht""}]}"
