,Input,Output,Response
51,"Warum hast du mich aufgeweckt, um mir etwas so wichtiges zu erzählen? Jetzt werde ich mich nie auf meine Arbeit konzentrieren können!","Warum hast du mich aufgeweckt, um mir etwas so Wichtiges zu erzählen? Jetzt werde ich mich nie auf meine Arbeit konzentrieren können!","{""explainHtml"":""<p  class='LT2'><b>wichtiges<\/b> : Bitte prüfen Sie, ob <b>Wichtiges<\/b> hier großgeschrieben werden muss.<br\/>→ <span class='LTsuggest'>Wichtiges<\/span><\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>wichtiges<\/b> : Bitte prüfen Sie, ob <b>Wichtiges<\/b> hier großgeschrieben werden muss.<br\/>→ <span class='LTsuggest'>Wichtiges<\/span><\/p>\n"",""correctedHtml"":""Warum hast du mich aufgeweckt, um mir etwas so <b title='wichtiges'><u class='LT2'>Wichtiges<\/u><\/b> zu erzählen? Jetzt werde ich mich nie auf meine Arbeit konzentrieren können!"",""model"":""UNK"",""editXml"":""Warum hast du mich aufgeweckt, um mir etwas so <REP TOK='Wichtiges'><DBT RID='LT2'>wichtiges<\/DBT><\/REP> zu erzählen? Jetzt werde ich mich nie auf meine Arbeit konzentrieren können!"",""corrected"":""Warum hast du mich aufgeweckt, um mir etwas so Wichtiges zu erzählen? Jetzt werde ich mich nie auf meine Arbeit konzentrieren können!"",""editOps"":[{""LTID"":""LT2"",""beg"":47,""kind"":""DBT"",""alt"":"""",""text"":""wichtiges""},{""LTID"":"""",""beg"":47,""kind"":""REP"",""alt"":""Wichtiges"",""text"":""wichtiges""}]}"
52,"Manchmal sorgt sich Spenser so sehr um Trang, dass er sie dazu bringt, zu glauben, dass er überfürsorglich ist.","Manchmal sorgt sich Spencer so sehr um Trang, dass er sie dazu bringt, zu glauben, dass er überfürsorglich ist.","{""explainHtml"":""<p  class='LT2'><b>Spenser<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>Spender<\/span>, <span class='LTsuggest'>Später<\/span>, <span class='LTsuggest'>Speiser<\/span>, <span class='LTsuggest'>Speisen<\/span>, <span class='LTsuggest'>Spencer<\/span>, <span class='LTsuggest'>Spenden<\/span>, <span class='LTsuggest'>Sender<\/span>, <span class='LTsuggest'>Spanier<\/span>, <span class='LTsuggest'>Ebener<\/span>, <span class='LTsuggest'>Speyer<\/span><\/p>\n<p  class='LT4'><b>Trang<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>Trank<\/span>, <span class='LTsuggest'>Drang<\/span>, <span class='LTsuggest'>Frank<\/span>, <span class='LTsuggest'>Krank<\/span>, <span class='LTsuggest'>Rang<\/span>, <span class='LTsuggest'>Drängt<\/span>, <span class='LTsuggest'>Tran<\/span>, <span class='LTsuggest'>Tranche<\/span>, <span class='LTsuggest'>Strang<\/span>, <span class='LTsuggest'>Dran<\/span><\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>Spenser<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>Spender<\/span>, <span class='LTsuggest'>Später<\/span>, <span class='LTsuggest'>Speiser<\/span>, <span class='LTsuggest'>Speisen<\/span>, <span class='LTsuggest'>Spencer<\/span>, <span class='LTsuggest'>Spenden<\/span>, <span class='LTsuggest'>Sender<\/span>, <span class='LTsuggest'>Spanier<\/span>, <span class='LTsuggest'>Ebener<\/span>, <span class='LTsuggest'>Speyer<\/span><\/p>\n<p  class='LT0'><b>Trang<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>Trank<\/span>, <span class='LTsuggest'>Drang<\/span>, <span class='LTsuggest'>Frank<\/span>, <span class='LTsuggest'>Krank<\/span>, <span class='LTsuggest'>Rang<\/span>, <span class='LTsuggest'>Drängt<\/span>, <span class='LTsuggest'>Tran<\/span>, <span class='LTsuggest'>Tranche<\/span>, <span class='LTsuggest'>Strang<\/span>, <span class='LTsuggest'>Dran<\/span><\/p>\n"",""correctedHtml"":""Manchmal sorgt sich <b title='Spenser'><i class='LT2'>Spencer<\/i><\/b> so sehr um <i class='LT4'>Trang<\/i>, dass er sie dazu bringt, zu glauben, dass er überfürsorglich ist."",""model"":""UNK"",""editXml"":""Manchmal sorgt sich <REP TOK='Spencer'><UNK RID='LT2'>Spenser<\/UNK><\/REP> so sehr um <UNK RID='LT4'>Trang<\/UNK>, dass er sie dazu bringt, zu glauben, dass er überfürsorglich ist."",""corrected"":""Manchmal sorgt sich Spencer so sehr um Trang, dass er sie dazu bringt, zu glauben, dass er überfürsorglich ist."",""editOps"":[{""LTID"":""LT2"",""beg"":20,""kind"":""UNK"",""alt"":"""",""text"":""Spenser""},{""LTID"":"""",""beg"":20,""kind"":""REP"",""alt"":""Spencer"",""text"":""Spenser""},{""LTID"":""LT4"",""beg"":39,""kind"":""UNK"",""alt"":"""",""text"":""Trang""}]}"
53,Sie schwimmt im Geld.,Sie schwimmt in Geld.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Sie schwimmt <b title='im'>in<\/b> Geld."",""model"":""UNK"",""editXml"":""Sie schwimmt <REP TOK='in'>im<\/REP> Geld."",""corrected"":""Sie schwimmt in Geld."",""editOps"":[{""LTID"":"""",""beg"":13,""kind"":""REP"",""alt"":""in"",""text"":""im""}]}"
54,"Wenn man zu viel isst, wird man dick.","Wenn man zu viel ist, wird man dick.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Wenn man zu viel <b title='isst'>ist<\/b>, wird man dick."",""model"":""UNK"",""editXml"":""Wenn man zu viel <REP TOK='ist'>isst<\/REP>, wird man dick."",""corrected"":""Wenn man zu viel ist, wird man dick."",""editOps"":[{""LTID"":"""",""beg"":17,""kind"":""REP"",""alt"":""ist"",""text"":""isst""}]}"
55,Die Situation ist schlimmer als wir dachten.,"Die Situation ist schlimmer, als wir dachten.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Die Situation ist schlimmer<b>,<\/b> als wir dachten."",""model"":""UNK"",""editXml"":""Die Situation ist schlimmer<INS TOK=','\/> als wir dachten."",""corrected"":""Die Situation ist schlimmer, als wir dachten."",""editOps"":[]}"
56,Heute ist der achtzehnte Juni - und Muiriels Geburtstag!,Heute ist der achtzehnte Juni - und Muriels Geburtstag!,"{""explainHtml"":""<p  class='LT2'><b>Muiriels<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>Muriels<\/span>, <span class='LTsuggest'>Mairies<\/span>, <span class='LTsuggest'>Muriel<\/span><\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>Muiriels<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>Muriels<\/span>, <span class='LTsuggest'>Mairies<\/span>, <span class='LTsuggest'>Muriel<\/span><\/p>\n"",""correctedHtml"":""Heute ist der achtzehnte Juni - und <b title='Muiriels'><i class='LT2'>Muriels<\/i><\/b> Geburtstag!"",""model"":""UNK"",""editXml"":""Heute ist der achtzehnte Juni - und <REP TOK='Muriels'><UNK RID='LT2'>Muiriels<\/UNK><\/REP> Geburtstag!"",""corrected"":""Heute ist der achtzehnte Juni - und Muriels Geburtstag!"",""editOps"":[{""LTID"":""LT2"",""beg"":36,""kind"":""UNK"",""alt"":"""",""text"":""Muiriels""},{""LTID"":"""",""beg"":36,""kind"":""REP"",""alt"":""Muriels"",""text"":""Muiriels""}]}"
57,Um alles zu erklären würde ich ewig brauchen.,"Um alles zu erklären, würde ich ewig brauchen.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Um alles zu erklären<b>,<\/b> würde ich ewig brauchen."",""model"":""UNK"",""editXml"":""Um alles zu erklären<INS TOK=','\/> würde ich ewig brauchen."",""corrected"":""Um alles zu erklären, würde ich ewig brauchen."",""editOps"":[]}"
58,Ich las ein Buch während ich aß.,"Ich las ein Buch, während ich aß.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich las ein Buch<b>,<\/b> während ich aß."",""model"":""UNK"",""editXml"":""Ich las ein Buch<INS TOK=','\/> während ich aß."",""corrected"":""Ich las ein Buch, während ich aß."",""editOps"":[]}"
59,"Spenser erzählte niemandem von seinem heimlichen Plan, es seinen Freunden dafür heimzuzahlen, dass sie ihm einen Streich gespielt hatten.","Spencer erzählte niemandem von seinem heimlichen Plan, es seinen Freunden dafür einzuzahlen, dass sie ihm einen Streich gespielt hatten.","{""explainHtml"":""<p  class='LT2'><b>Spenser<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>Spender<\/span>, <span class='LTsuggest'>Später<\/span>, <span class='LTsuggest'>Speiser<\/span>, <span class='LTsuggest'>Speisen<\/span>, <span class='LTsuggest'>Spencer<\/span>, <span class='LTsuggest'>Spenden<\/span>, <span class='LTsuggest'>Sender<\/span>, <span class='LTsuggest'>Spanier<\/span>, <span class='LTsuggest'>Ebener<\/span>, <span class='LTsuggest'>Speyer<\/span><\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>Spenser<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>Spender<\/span>, <span class='LTsuggest'>Später<\/span>, <span class='LTsuggest'>Speiser<\/span>, <span class='LTsuggest'>Speisen<\/span>, <span class='LTsuggest'>Spencer<\/span>, <span class='LTsuggest'>Spenden<\/span>, <span class='LTsuggest'>Sender<\/span>, <span class='LTsuggest'>Spanier<\/span>, <span class='LTsuggest'>Ebener<\/span>, <span class='LTsuggest'>Speyer<\/span><\/p>\n"",""correctedHtml"":""<b title='Spenser'><i class='LT2'>Spencer<\/i><\/b> erzählte niemandem von seinem heimlichen Plan, es seinen Freunden dafür <b title='heimzuzahlen'>einzuzahlen<\/b>, dass sie ihm einen Streich gespielt hatten."",""model"":""UNK"",""editXml"":""<REP TOK='Spencer'><UNK RID='LT2'>Spenser<\/UNK><\/REP> erzählte niemandem von seinem heimlichen Plan, es seinen Freunden dafür <REP TOK='einzuzahlen'>heimzuzahlen<\/REP>, dass sie ihm einen Streich gespielt hatten."",""corrected"":""Spencer erzählte niemandem von seinem heimlichen Plan, es seinen Freunden dafür einzuzahlen, dass sie ihm einen Streich gespielt hatten."",""editOps"":[{""LTID"":""LT2"",""beg"":0,""kind"":""UNK"",""alt"":"""",""text"":""Spenser""},{""LTID"":"""",""beg"":0,""kind"":""REP"",""alt"":""Spencer"",""text"":""Spenser""},{""LTID"":"""",""beg"":80,""kind"":""REP"",""alt"":""einzuzahlen"",""text"":""heimzuzahlen""}]}"
60,"Ich kann nicht verstehen, warum die Leute sich vor neuen Ideen fürchten. Ich fürchte mich vor den alten.","Ich kann nicht verstehen, warum die Leute sich vor neuen Ideen fürchten. Ich fürchte mich vor dem Alten.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich kann nicht verstehen, warum die Leute sich vor neuen Ideen fürchten. Ich fürchte mich vor <b title='den alten'>dem Alten<\/b>."",""model"":""UNK"",""editXml"":""Ich kann nicht verstehen, warum die Leute sich vor neuen Ideen fürchten. Ich fürchte mich vor <REP TOK='dem Alten'>den alten<\/REP>."",""corrected"":""Ich kann nicht verstehen, warum die Leute sich vor neuen Ideen fürchten. Ich fürchte mich vor dem Alten."",""editOps"":[{""LTID"":"""",""beg"":94,""kind"":""REP"",""alt"":""dem Alten"",""text"":""den alten""}]}"
61,"Es tut uns leid, aber die Person, die sie erreichen wollen, ist nicht hier.","Es tut uns leid, aber die Person, die Sie erreichen wollen, ist nicht hier.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Es tut uns leid, aber die Person, die <b title='sie'>Sie<\/b> erreichen wollen, ist nicht hier."",""model"":""UNK"",""editXml"":""Es tut uns leid, aber die Person, die <REP TOK='Sie'>sie<\/REP> erreichen wollen, ist nicht hier."",""corrected"":""Es tut uns leid, aber die Person, die Sie erreichen wollen, ist nicht hier."",""editOps"":[{""LTID"":"""",""beg"":38,""kind"":""REP"",""alt"":""Sie"",""text"":""sie""}]}"
62,Du bist in dem Moment angekommen als ich gegangen bin.,"Du bist in dem Moment angekommen, als ich gegangen bin.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du bist in dem Moment angekommen<b>,<\/b> als ich gegangen bin."",""model"":""UNK"",""editXml"":""Du bist in dem Moment angekommen<INS TOK=','\/> als ich gegangen bin."",""corrected"":""Du bist in dem Moment angekommen, als ich gegangen bin."",""editOps"":[]}"
63,"Es scheint, dass der Zug Verspätung hat.","Es scheint, dass der zur Verspätung hat.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Es scheint, dass der <b title='Zug'>zur<\/b> Verspätung hat."",""model"":""UNK"",""editXml"":""Es scheint, dass der <REP TOK='zur'>Zug<\/REP> Verspätung hat."",""corrected"":""Es scheint, dass der zur Verspätung hat."",""editOps"":[{""LTID"":"""",""beg"":21,""kind"":""REP"",""alt"":""zur"",""text"":""Zug""}]}"
64,"Wasser gefriert bei null Grad Celsius, oder?","Wasser gefriert bei Null Grad Celsius, oder?","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Wasser gefriert bei <b title='null'>Null<\/b> Grad Celsius, oder?"",""model"":""UNK"",""editXml"":""Wasser gefriert bei <REP TOK='Null'>null<\/REP> Grad Celsius, oder?"",""corrected"":""Wasser gefriert bei Null Grad Celsius, oder?"",""editOps"":[{""LTID"":"""",""beg"":20,""kind"":""REP"",""alt"":""Null"",""text"":""null""}]}"
65,"Das Schaffen eines jeden Menschen, ob in Literatur, Musik, Malerei, Architektur oder beliebigem anderem Bereiche, ist immer ein Bildnis seiner selbst.","Das Schaffen eines jeden Menschen, ob in Literatur, Musik, Malerei, Architektur oder beliebigen anderen Bereiche, ist immer ein Bildnis seiner selbst.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Das Schaffen eines jeden Menschen, ob in Literatur, Musik, Malerei, Architektur oder <b title='beliebigem anderem'>beliebigen anderen<\/b> Bereiche, ist immer ein Bildnis seiner selbst."",""model"":""UNK"",""editXml"":""Das Schaffen eines jeden Menschen, ob in Literatur, Musik, Malerei, Architektur oder <REP TOK='beliebigen anderen'>beliebigem anderem<\/REP> Bereiche, ist immer ein Bildnis seiner selbst."",""corrected"":""Das Schaffen eines jeden Menschen, ob in Literatur, Musik, Malerei, Architektur oder beliebigen anderen Bereiche, ist immer ein Bildnis seiner selbst."",""editOps"":[{""LTID"":"""",""beg"":85,""kind"":""REP"",""alt"":""beliebigen anderen"",""text"":""beliebigem anderem""}]}"
66,In welchen Ordner hast du die Datei gespeichert?,In welchem Ordner hast du die Datei gespeichert?,"{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>Ordner, hast, du<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""In <b title='welchen'>welchem<\/b> Ordner hast du die Datei gespeichert?"",""model"":""UNK"",""editXml"":""In <REP TOK='welchem'>welchen<\/REP> Ordner hast du die Datei gespeichert?"",""corrected"":""In welchem Ordner hast du die Datei gespeichert?"",""editOps"":[{""LTID"":"""",""beg"":3,""kind"":""REP"",""alt"":""welchem"",""text"":""welchen""}]}"
67,"„Hast du Geschwister? “ - „Nein, ich bin ein Einzelkind.""","""Hast du Geschwister? “-"" Nein, ich bin ein Einzelkind. ""","{""explainHtml"":""<p  class='LT2'><b>\u201E<\/b> : Zeichen ohne sein Gegenstück: '\u201C' scheint zu fehlen<\/p>\n<p  class='LT4'><b>\u201C<\/b> : Zeichen ohne sein Gegenstück: '\u201E' scheint zu fehlen<\/p>\n<p  class='LT6'><b>\""<\/b> : Zeichen ohne sein Gegenstück: '\""' scheint zu fehlen<\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>\u201E<\/b> : Zeichen ohne sein Gegenstück: '\u201C' scheint zu fehlen<\/p>\n<p  class='LT0'><b>\u201C<\/b> : Zeichen ohne sein Gegenstück: '\u201E' scheint zu fehlen<\/p>\n<p  class='LT0'><b>\""<\/b> : Zeichen ohne sein Gegenstück: '\""' scheint zu fehlen<\/p>\n"",""correctedHtml"":""<b title='\u201E'><u class='LT2'><\/u>\""<\/b>Hast du Geschwister? <u class='LT4'>\u201C<\/u><img src='BugSmall.png' class='smallbug'  title=' '\/>-<b title=' \u201E'>\"" <\/b>Nein, ich bin ein Einzelkind.<b> <\/b><u class='LT6'>\""<\/u>"",""model"":""UNK"",""editXml"":""<REP TOK='&#34;'><DBT RID='LT2'>\u201E<\/DBT><\/REP>Hast du Geschwister? <DBT RID='LT4'>\u201C<\/DBT><DEL TOK=''> <\/DEL>-<REP TOK='&#34; '> \u201E<\/REP>Nein, ich bin ein Einzelkind.<INS TOK=' '\/><DBT RID='LT6'>\""<\/DBT>"",""corrected"":""\""Hast du Geschwister? \u201C-\"" Nein, ich bin ein Einzelkind. \"""",""editOps"":[{""LTID"":""LT2"",""beg"":0,""kind"":""DBT"",""alt"":"""",""text"":""\u201E""},{""LTID"":"""",""beg"":0,""kind"":""REP"",""alt"":""&#34;"",""text"":""\u201E""},{""LTID"":""LT4"",""beg"":22,""kind"":""DBT"",""alt"":"""",""text"":""\u201C""},{""LTID"":"""",""beg"":23,""kind"":""DEL"",""alt"":"""",""text"":"" ""},{""LTID"":"""",""beg"":25,""kind"":""REP"",""alt"":""&#34; "",""text"":"" \u201E""},{""LTID"":""LT6"",""beg"":56,""kind"":""DBT"",""alt"":"""",""text"":""\""""}]}"
68,Was isst du zum Frühstück?,Was bist du zum Frühstück?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Was <b title='isst'>bist<\/b> du zum Frühstück?"",""model"":""UNK"",""editXml"":""Was <REP TOK='bist'>isst<\/REP> du zum Frühstück?"",""corrected"":""Was bist du zum Frühstück?"",""editOps"":[{""LTID"":"""",""beg"":4,""kind"":""REP"",""alt"":""bist"",""text"":""isst""}]}"
69,"Du kannst einladen, wen immer du magst.","Du kannst einladen, wenn immer du magst.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du kannst einladen, <b title='wen'>wenn<\/b> immer du magst."",""model"":""UNK"",""editXml"":""Du kannst einladen, <REP TOK='wenn'>wen<\/REP> immer du magst."",""corrected"":""Du kannst einladen, wenn immer du magst."",""editOps"":[{""LTID"":"""",""beg"":20,""kind"":""REP"",""alt"":""wenn"",""text"":""wen""}]}"
70,"Sie können einladen, wen immer Sie mögen.","Sie können einladen, wenn immer Sie mögen.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Sie können einladen, <b title='wen'>wenn<\/b> immer Sie mögen."",""model"":""UNK"",""editXml"":""Sie können einladen, <REP TOK='wenn'>wen<\/REP> immer Sie mögen."",""corrected"":""Sie können einladen, wenn immer Sie mögen."",""editOps"":[{""LTID"":"""",""beg"":21,""kind"":""REP"",""alt"":""wenn"",""text"":""wen""}]}"
71,"Du musst zugeben, dass du nicht Recht hast.","Du musst zugeben, dass du nicht recht hast.","{""explainHtml"":""<p  class='LT2'><b>Recht<\/b> : Empfehlung: Schreiben Sie das Wort \""Recht\"" im Zusammenhang mit \""recht haben\"" oder \""recht geben\"" klein.<br\/>→ <span class='LTsuggest'>recht<\/span><\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>Recht<\/b> : Empfehlung: Schreiben Sie das Wort \""Recht\"" im Zusammenhang mit \""recht haben\"" oder \""recht geben\"" klein.<br\/>→ <span class='LTsuggest'>recht<\/span><\/p>\n"",""correctedHtml"":""Du musst zugeben, dass du nicht <b title='Recht'><u class='LT2'>recht<\/u><\/b> hast."",""model"":""UNK"",""editXml"":""Du musst zugeben, dass du nicht <REP TOK='recht'><DBT RID='LT2'>Recht<\/DBT><\/REP> hast."",""corrected"":""Du musst zugeben, dass du nicht recht hast."",""editOps"":[{""LTID"":""LT2"",""beg"":32,""kind"":""DBT"",""alt"":"""",""text"":""Recht""},{""LTID"":"""",""beg"":32,""kind"":""REP"",""alt"":""recht"",""text"":""Recht""}]}"
72,"Ihr müsst zugeben, dass ihr nicht Recht habt.","Ihr müsst zugeben, dass ihr nicht recht habt.","{""explainHtml"":""<p  class='LT2'><b>Recht<\/b> : Empfehlung: Schreiben Sie das Wort \""Recht\"" im Zusammenhang mit \""recht haben\"" oder \""recht geben\"" klein.<br\/>→ <span class='LTsuggest'>recht<\/span><\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>Recht<\/b> : Empfehlung: Schreiben Sie das Wort \""Recht\"" im Zusammenhang mit \""recht haben\"" oder \""recht geben\"" klein.<br\/>→ <span class='LTsuggest'>recht<\/span><\/p>\n"",""correctedHtml"":""Ihr müsst zugeben, dass ihr nicht <b title='Recht'><u class='LT2'>recht<\/u><\/b> habt."",""model"":""UNK"",""editXml"":""Ihr müsst zugeben, dass ihr nicht <REP TOK='recht'><DBT RID='LT2'>Recht<\/DBT><\/REP> habt."",""corrected"":""Ihr müsst zugeben, dass ihr nicht recht habt."",""editOps"":[{""LTID"":""LT2"",""beg"":34,""kind"":""DBT"",""alt"":"""",""text"":""Recht""},{""LTID"":"""",""beg"":34,""kind"":""REP"",""alt"":""recht"",""text"":""Recht""}]}"
73,Du hast deine Socken verkehrt an.,"Du hast deine Socken verkehrt, ja.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du hast deine Socken verkehrt<b title=' an'>, ja<\/b>."",""model"":""UNK"",""editXml"":""Du hast deine Socken verkehrt<REP TOK=', ja'> an<\/REP>."",""corrected"":""Du hast deine Socken verkehrt, ja."",""editOps"":[{""LTID"":"""",""beg"":29,""kind"":""REP"",""alt"":"", ja"",""text"":"" an""}]}"
74,Versuchst Du in trübem Wasser zu angeln?,"Versuchst du, in trübem Wasser zu angeln?","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Versuchst <b title='Du'>du,<\/b> in trübem Wasser zu angeln?"",""model"":""UNK"",""editXml"":""Versuchst <REP TOK='du,'>Du<\/REP> in trübem Wasser zu angeln?"",""corrected"":""Versuchst du, in trübem Wasser zu angeln?"",""editOps"":[{""LTID"":"""",""beg"":10,""kind"":""REP"",""alt"":""du,"",""text"":""Du""}]}"
75,Du bist ja weiß wie ein Laken!,"Du bist ja weiß, wie ein Laken!","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du bist ja weiß<b>,<\/b> wie ein Laken!"",""model"":""UNK"",""editXml"":""Du bist ja weiß<INS TOK=''\/> wie ein Laken!"",""corrected"":""Du bist ja weiß, wie ein Laken!"",""editOps"":[]}"
76,Er ist fürwahr ein Mann seines Worts.,"Er ist für wahr, ein Mann seines Worts.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Er ist<b title=' fürwahr'> für wahr,<\/b> ein Mann seines Worts."",""model"":""UNK"",""editXml"":""Er ist<REP TOK=' für wahr,'> fürwahr<\/REP> ein Mann seines Worts."",""corrected"":""Er ist für wahr, ein Mann seines Worts."",""editOps"":[{""LTID"":"""",""beg"":6,""kind"":""REP"",""alt"":"" für wahr,"",""text"":"" fürwahr""}]}"
77,Planst du ins Ausland zu gehen?,"Planst du, ins Ausland zu gehen?","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Planst du<b>,<\/b> ins Ausland zu gehen?"",""model"":""UNK"",""editXml"":""Planst du<INS TOK=''\/> ins Ausland zu gehen?"",""corrected"":""Planst du, ins Ausland zu gehen?"",""editOps"":[]}"
78,"Er fragte mich, ob ich Englisch spräche.","Er fragte mich, ob ich Englisch spreche.","{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>Englisch<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Er fragte mich, ob ich Englisch <b title='spräche'>spreche<\/b>."",""model"":""UNK"",""editXml"":""Er fragte mich, ob ich Englisch <REP TOK='spreche'>spräche<\/REP>."",""corrected"":""Er fragte mich, ob ich Englisch spreche."",""editOps"":[{""LTID"":"""",""beg"":32,""kind"":""REP"",""alt"":""spreche"",""text"":""spräche""}]}"
79,Du bist nicht alt genug um einen Führerschein zu bekommen.,"Du bist nicht alt genug, um einen Führerschein zu bekommen.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du bist nicht alt genug<b>,<\/b> um einen Führerschein zu bekommen."",""model"":""UNK"",""editXml"":""Du bist nicht alt genug<INS TOK=','\/> um einen Führerschein zu bekommen."",""corrected"":""Du bist nicht alt genug, um einen Führerschein zu bekommen."",""editOps"":[]}"
80,Planst du am Treffen teilzunehmen?,"Planst du, am Treffen teilzunehmen?","{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>du, am, Treffen<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Planst du<b>,<\/b> am Treffen teilzunehmen?"",""model"":""UNK"",""editXml"":""Planst du<INS TOK=''\/> am Treffen teilzunehmen?"",""corrected"":""Planst du, am Treffen teilzunehmen?"",""editOps"":[]}"
81,Du siehst chic in dem Hemd aus.,Du siehst schick in dem Hemd aus.,"{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>Hemd<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Du siehst <b title='chic'>schick<\/b> in <u title='den || dem'>dem<\/u> Hemd aus."",""model"":""UNK"",""editXml"":""Du siehst <REP TOK='schick'>chic<\/REP> in <DBT TOK='den || dem'>dem<\/DBT> Hemd aus."",""corrected"":""Du siehst schick in dem Hemd aus."",""editOps"":[{""LTID"":"""",""beg"":10,""kind"":""REP"",""alt"":""schick"",""text"":""chic""},{""LTID"":"""",""beg"":18,""kind"":""DBT"",""alt"":""den || dem"",""text"":""dem""}]}"
82,Was um Gottes Willen machst du hier?,"Was, um Gottes Willen machst du hier?","{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>um, Gottes, Willen<\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>Willen<\/b> : In der Wendung 'um \u2026 willen' wird <b>willen<\/b> kleingeschrieben.<br\/>→ <span class='LTsuggest'>willen<\/span><\/p>\n"",""correctedHtml"":""Was<b>,<\/b> um Gottes <u title='willen'>Willen<\/u> machst du hier?"",""model"":""UNK"",""editXml"":""Was<INS TOK=''\/> um Gottes <DBT TOK='willen'>Willen<\/DBT> machst du hier?"",""corrected"":""Was, um Gottes Willen machst du hier?"",""editOps"":[{""LTID"":"""",""beg"":14,""kind"":""DBT"",""alt"":""willen"",""text"":""Willen""}]}"
83,Ihr beschwert euch ständig.,Ich beschwere euch ständig.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""<b title='Ihr beschwert'>Ich beschwere<\/b> euch ständig."",""model"":""UNK"",""editXml"":""<REP TOK='Ich beschwere'>Ihr beschwert<\/REP> euch ständig."",""corrected"":""Ich beschwere euch ständig."",""editOps"":[{""LTID"":"""",""beg"":0,""kind"":""REP"",""alt"":""Ich beschwere"",""text"":""Ihr beschwert""}]}"
84,Du musst müde sein nach so einer langen Reise.,"Du musst müde sein, nach so einer langen Reise.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du musst müde sein<b>,<\/b> nach so einer langen Reise."",""model"":""UNK"",""editXml"":""Du musst müde sein<INS TOK=''\/> nach so einer langen Reise."",""corrected"":""Du musst müde sein, nach so einer langen Reise."",""editOps"":[]}"
